Ref Des;Mid X (mm);Mid Y (mm);Rotation;Comment;Package;LCSC Part number
R2-USB;159.91;58.94;90.00;5k1;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R2-USB1;159.49;48.78;90.00;5k1;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R2_BAT;126.59;46.17;270.00;2K;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R3;90.33;28.41;90.00;0.47;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R4;94.09;19.17;0.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R5;22.49;40.33;180.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R6;16.17;35.07;270.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R7;22.35;34.67;0.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R8;37.07;41.02;90.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R9;32.01;33.75;0.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
RESET_BUTTON;24.37;109.02;180.00;BUTTON_CUSYOMV1;MYBUTTON;
RX;dec.97;71.75;0.00;TPTP20R;TP20R;
R_BOOT;45.85;108.61;270.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R_CAPACITOR;90.81;53.35;0.00;15;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R_CHANGE;59.85;108.82;270.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R_CL1;31.59;68.18;270.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
R_RESET;21.34;108.51;90.00;10k;ESP32_WROVER_EAGLE-LTSPICE_R0402;
SCK;29.27;15.33;0.00;TPTP20R;TP20R;
SENSOR2;64.28;56.32;90.00;BME688;ESP32_WROVER_BME680_PSON80P300X300X100-8N;
SJ1;99.17;27.88;90.00;;SJ;
TX;12.mai;67.75;0.00;TPTP20R;TP20R;
U1;37.79;56.87;0.00;W25Q512JVEIQ;SON127P600X800X80-9N;
U2;16.45;56.20;90.00;ESP32-C6-WROOM-1-N8;XCVR_ESP32-C6-WROOM-1-N8;
U3;82.91;55.45;270.00;DS3231SN#;SOIC127P1032X265-16N;
U4;69.68;73.23;0.00;MAX17048G+T10;SON50P200X200X80-9N;
VBAT;51.39;82.25;0.00;TPTP20R;TP20R;
VBUS;41.53;87.25;0.00;TPTP20R;TP20R;
